"id","serie","number","title"
"29402","Suske En Wiske HQ ","311"," De Stuivende Stad"
"29403","Robbedoes Weekblad ","1954","769"
"29404","Sjors ","1967","16"
"29405","De Wondersloffen Van Sjakie ","21"," Afpersing"
"29406","Detective Conan ","2"," Deel 02"
"29407","Jerom ","68"," Rum Voor Kraakeiland"
"29408","Tomb Raider ","7"," In De Roos Deel 01"
"29409","Rooie Oortjes Cartoon Album ","31"," Deel 31"
"29410","Victoria ","76"," Opdracht Vervuld"
"29411","Donjon Monsters ","2"," De Tranen Van De Reus"
"29412","Neon Genesis Evangelion ","9"," Fith Children"
"29413","Pep ","1967","47"
"29414","Bone "," V02 "," De Grote Koeienrace"
"29415","Kuifje Weekblad ","1988","3"
"29416","Suske En Wiske ","97"," De Junglebloem"
"29417","Sjors ","1939"," 44 (ic)"
"29418","Sheriff Classics ","9"," Overval Op De Union Pacific (Mist blz 15 tm 18)"
"29419","Robbedoes Weekblad ","1981","2258"
"29420","De Avonturen Van Kapitein Rob ","12"," Het Levende Eiland (1949)"
"29421","Losstaande Albums Van Barbara Stok ","6"," Was Iedereen Maar Zoals Ik"
"29422","Gen 13 ","22"," Dat Was Toen + Vlees Noch Vis"
"29423","Samber ","1"," Minder Is Meer"
"29424","The Village ","1"," De Ingenieur"
"29425","Bonanza "," A04 "," Een Muilezeltransport"
"29426","Suske En Wiske HQ ","109"," De Wolkeneters"
"29427","Mauro Caldi ","1"," Mille Miglia"
"29428","Robbedoes Weekblad ","1968","1563"
"29429","Gummi "," V06 "," Verzamelalbum 06 (Alleen de kaften)"
"29430","Donald Duck ","1968","46"
"29431","Kloontje Het Reuzenkind ","1"," Hallo, Ik Ben Kloontje!"
"29432","Toppers In Strip ","2"," Robinson Crusoe"
"29433","Pep ","1963","6"
"29434","Filmspecial (Junior Press) ","0"," Blade Runner"
"29435","Het Maagdenbos ","3"," Huwelijk"
"29436","Stoute Benjamin ","2"," Niet Mooi!"
"29437","Robbedoes Weekblad ","1994","2916"
"29438","Wordt Vervolgd ","21"," Nummer Eenentwintig"
"29439","Kuifje Weekblad ","1989","37"
"29440","Donald Duck ","2010","24"
"29441","Jan, Jans En De Kinderen ","40"," Deel 40"
"29442","Anita ","1983","30"
"29443","Sjors ","1939","33"
"29444","Meneer Johan ","1"," M'n Innig Geliefde Concierge"
"29445","Bulletje En Boonestaak "," E04 "," De Wereldreis Van Bulletje En Bonestaak Vierde Boekje (ontbr mid pag)"
"29446","Kit Carson ","69"," De Verbannene Van Alder Creek"
"29447","Tom Poes (Stichting De Lezer) ","19"," De Schat Op De Zeebodem"
"29448","Aram Van De Eilanden "," K34 "," De Wraak Van Grijze Beer"
"29449","Maja De Bij "," B12 "," Maja En De Toverregen"
"29450","Messalina ","32"," De Gemaskerde Vrouw"
"29451","Jump ","1"," Zwijgen En Trappen!"
"29452","Robbedoes Weekblad ","1993","2881"
"29453","Donald Duck ","2011","13"
"29454","Kuifje Weekblad ","1965","41"
"29455","De Machtige Thor ","13"," De Bron Aan Het Einde Van Het Universum"
"29456","Donald Duck ","1964","41"
"29457","Sjors ","1966","43"
"29458","Korak De Zoon Van Tarzan ","14"," Op Heterdaad Betrapt"
"29459","Donald Duck ","1976","35"
"29460","De Groene Koning ","2"," Guaharibo's"
"29461","De Hagenridder ","1"," Deel 01"
"29462","De Partners ","13"," De Sjih"
"29463","Falk ","41"," Redder Tegen Wil En Dank (1965)"
"29464","Robbedoes Weekblad ","1984","2418"
"29465","X Mannen ","4"," Banshee's Sirene"
"29466","Donald Duck ","1980","52"
"29467","LeFranc ","15"," El Paradisio"
"29468","Donald Duck ","2001","50"
"29469","Hansje ","5"," Hansje Contra Number One"
"29470","Prins Namor En Rauwe Bonk ","6"," Ergens Ligt Doodskop Eiland"
"29471","Trevor Callahan ","3"," Het Jaar Van De Kat"
"29472","De Bende Van Jan De Lichte ","4"," De Buit"
"29473","Die Onverbeterlijke Bas ","2"," De Zwarte Schim Van Harderhorst"
"29474","Suske En Wiske ","48"," Het Rijmende Paard (1963)"
"29475","Karl May ","51"," De Oorlogstweeling"
"29476","Witte Klauw ","2"," De Opstand Van Het Apenvolk (Andere scan)"
"29477","Affodil ","1"," De Zielennemer"
"29478","De Plaag ","3"," Supermanna"
"29479","Ben Hur ","3"," Sjeik Ilderim"
"29480","Donald Duck ","2015","16"
"29481","Superman (Baldakijn) ","92"," Dit Alles... En Lex Luthor II + Purge"
"29482","Joachim En Iris ","0"," Joachim En Iris (Taptoe 1981)"
"29483","Suske En Wiske Weekblad ","1995","41"
"29484","Donald Duck Extra "," 2015 01 "," Speelgoed In De Sneeuw"
"29485","Kuifje Weekblad ","1984","21"
"29486","Bonanza ","4"," Mijn Vriend, De Houten Indiaan"
"29487","Robert En Bertrand ","80"," De Drie Neuzen"
"29488","Monki ","2"," Monki's Reis Om De Wereld, 50 Avonturen In Amerika"
"29489","Akim Held Van De Jungle "," K38 "," Ontketende Geweld"
"29490","Donald Duck ","1985","1"
"29491","Kroniek Van De Nacht Der Tijden ","2"," Verbrande Kop"
"29492","Levenslijnen ","11"," De Voorouder"
"29493","Suske En Wiske Weekblad ","2000","20"
"29494","FC Knudde ","12"," Knudde Antiek Of Hoe Het Begon"
"29495","James Bond (Film) ","1"," For Your Eyes Only"
"29496","Suske En Wiske Weekblad ","2001","28"
"29497","Kuifje Weekblad ","1991","25"
"29498","Akim Held Van De Jungle "," C062 "," Met Bloed Geschreven"
"29499","Kuifje Weekblad ","1950","20"
"29500","TV2000 ","1968","33"
"29501","Golias ","2"," De Bloem Van De Herinnering"
"29502","Sjors ","1958","11"
"29503","Achter De Schermen Van De Macht ","8"," De Roofdieren"
"29504","Ringo ","2"," Het Geheim Van De Verlaten Mijn"
"29505","De Aquanauten ","3"," Het Verbond"
"29506","H�gar "," D06 "," De Zesde Dikke H�gar"
"29507","Suldaat Maffe ","10"," Een Tik Van De Molen"
"29508","Eppo ","2012","13"
"29509","Penthouse Comics Magazine ","13"," Deel 13"
"29510","SjoSji ","1995","11"
"29511","Top Illustrated Classics ","9"," De Wereld Rond In 80 Dagen"
"29512","Mickey Maandblad ","1988","12"
"29513","Penny ","2012","3"
"29514","Suske En Wiske ","176"," De Pompenplanters"
"29515","Pep ","1967","24"
"29516","Pep ","1970","21"
"29517","Garfield "," Z17 "," Dubbelalbum 17"
"29518","Ton En Tinneke "," Z01 "," Attanasio '68"
"29519","Donald Duck Extra "," 1996 12 "," De Laatste Slee Naar Dawson"
"29520","De Collectie Getekend ","30"," Station 16"
"29521","Dock 21 ","1"," De Schade Van De Tijd"
"29522","Wordt Vervolgd ","14"," Nummer Veertien"
"29523","Eppo ","1981","4"
"29524","Batman Classics ","83"," Schatzoeken In Gotham City (Mist blz 17 tm 20)"
"29525","MAD ","96"," Nummer 096"
"29526","Kuifje Weekblad ","1984","36"
"29527","Sjef Van Oekel ","5"," Sjef Van Oekel Breekt Door"
"29528","Sagen Van De Tafelronde ","1"," Eerste Heldendaden"
"29529","Eppo ","1977","26"
"29530","Pep ","1975","10"
"29531","Lucifera ","28"," Geweld En Genot"
"29532","Sjors En Sjimmie Extra ","1992","11"
"29533","Piet Pienter En Bert Bibber ","45"," Susan Bij De Knobbelgilde (Bewerkt)"
"29534","Sabels En Galjoenen ","5"," Jan Zonder Maan"
"29535","Donald Duck ","1969","44"
"29536","Donald Duck ","2000","19"
"29537","Trollen van Troy ","16"," Trollenhaar"
"29538","Hip Comics (Tweede Reeks) ","19171"," De Vleermuis & De Stille Getuige"
"29539","Donald Duck ","1998","14"
"29540","Zonneland ","1955"," 43 (Incompleet)"
"29541","Donjon Parade ","2"," De Wijze Van Het Getto"
"29542","Kuifje Weekblad ","1965","18"
"29543","Kuifje Weekblad ","1953","23"
"29544","Zwarte Valk ","2830"," Het Door De Tijd Vergeten Monster"
"29545","Parodie Reeks ","9"," De Vieze Varkens Gaan Verder!"
"29546","Kuifje Weekblad ","1989","41"
"29547","Elfquest ","44"," De List Van Winnowill"
"29548","Axel Moonshine ","19"," Tramlijn Ijldroom"
"29549","Donald Duck ","1969","12"
"29550","Rik Ringers ","27"," Het Mes Op De Keel"
"29551","Alchemie ","2"," De Laatste Vervloekte Koning"
"29552","Mr Magellan "," K14 "," De Rode Zon"
"29553","Donald Duck ","1954","32"
"29554","Eppo ","1983","30"
"29555","De Cartografen ","4"," Het Kristal Van Camerlot"
"29556","Suske En Wiske HQ ","173"," Het Drijvende Dorp"
"29557","Jonathan ","7"," Kate"
"29558","MAD ","106"," Nummer 106"
"29559","Pep ","1965","11"
"29560","Oorlog "," Mini503 "," Het Schijncommando"
"29561","Bulletje En Boonestaak ","12"," De Vertellingen Van Een Menseneter"
"29562","Victoria ","199"," Een Opdracht Voor Jeff Curtiss"
"29563","Disney Avonturen ","2"," Deel 02"
"29564","De 4 Helden ","23"," De Tovenaar"
"29565","De Psy ","12"," Ik Ben Zo Lelijk!"
"29566","Rosco De Roode ","3"," Loedersap"
"29567","Strijd Classics ","11039"," De Slag Bij Falaise"
"29568","Kort & Triest ","1"," Verdwaald!"
"29569","Costa ","1"," Purple Junks"
"29570","Sarah & Robin ","4"," Het Dagboek"
"29571","Fix En Fox ","1961","24"
"29572","Samson & Gert ","10"," Mac Samson En Mac Gert"
"29573","Donald Duck ","2007","49"
"29574","Donald Duck ","1981","33"
"29575","De Generaal ","6"," De Generaal Vliegt Eruit"
"29576","De Avonturen Van Urbanus ","48"," De Tirannie Van Eufrazie"
"29577","Pep ","1971","24"
"29578","De Verbijsterende Hulk ","20"," Tegen Man Thing"
"29579","Mr Magellan ","6"," Operatie Crystal"
"29580","Kuifje Weekblad ","1990","40"
"29581","Commando Superstrip ","518"," Wanneer Komen We Terug"
"29582","Kuifje Weekblad ","1978","48"
"29583","Zwarte Reeks ","142"," SM Hotel"
"29584","Foc ","2"," De Broederschap Van De Schandvlek"
"29585","Eppo ","1982","19"
"29586","Superman Classics ","3"," In De Val!"
"29587","De Infinity Gauntlet ","1"," God"
"29588","Barelli ","2"," Barelli En De Geheimagenten"
"29589","Top Illustrated Classics ","26"," Don Quichotte"
"29590","De Blauwbloezen ","51"," Een Steekje Los Bij Stark"
"29591","Paper (Tijdschrift) ","2009","10"
"29592","Dan Cooper ","40"," Alarm Op De Clemenceau"
"29593","De Onthoofde Arenden ","19"," Het Oordeel Van De Koning"
"29594","Mickey Magazine ","257"," Deel 257"
"29595","De Avonturen Van Nero En Co "," H52 "," De Pijpeplakkers (1965)"
"29596","FC Knudde "," C03 "," Hoezo Knudde (Sportief 1)"
"29597","De Azuren Boeddha ","2"," Deel 02"
"29598","Losstaande Albums Van Bryan Talbot ","1"," Het Verhaal Van Een Slechte Rat"
"29599","Het Kruis Van Cazenac ","3"," Bloed Van Mijn Vader"
"29600","Crazy (Tijdschrift) ","1982","3"
"29601","Eppo ","1981","44"
"29602","Donald Duck ","2005","4"
"29603","Tina ","1971","13"
"29604","Suske En Wiske ","117"," De Toornige Tjiftjaf"
"29605","Sjors ","1938","28"
"29606","De Wonderbaarlijke Spinneman ","18"," Spinneman Geeft Het Op!!!"
"29607","Sprookjes In Beeld ","93"," Ik Zie Ik Zie, Wat Jij Niet Ziet"
"29608","Sjors ","1958","48"
"29609","Robbedoes Weekblad ","1972","1800"
"29610","De Avonturen Van Kapitein Rob ","41"," De Condors Van Het Andesgebergte"
"29611","Dommel ","22"," De Avonturen Van Inspecteur Dommel"
"29612","Sophie ","20"," Het Graf In De Grot"
"29613","Tom Poes Krantenstrips ","149"," Tom Poes En De Kaligaar"
"29614","Fantastic Four Special ","37"," De Verdwijntruuk... En Nog Veel Meer!"
"29615","De Avonturen Van Urbanus ","107"," Het Ongeluk Van Odilon"
"29616","Illustrated Classics ","72"," David Copperfield"
"29617","Pep ","1972","32"
"29618","De Gefrustreerden ","5"," Deel 05"
"29619","Dance Academy ","3"," Deel 3 (Andere scan)"
"29620","Aathon ","1"," Het Einde Van Een Wereld (Andere scan)"
"29621","Oom Dagobert ","61"," Paniek Bij De Piewiega's"
"29622","Donald Duck ","1959","23"
"29623","Tina ","1975","21"
"29624","Ijsco ","1"," Neef IJsco En Het Geheim Van De Dorstvogel"
"29625","Zonneland ","1957","19"
"29626","Donald Duck ","1989","43"
"29627","Geheim Agent ","57"," De Dodelijke Schaduw"
"29628","Prins Valiant ","18"," De Rivier Die Verdween"
"29629","El Ni�o ","6"," De Honderdtwintigdagenwind"
"29630","De Kapers Van Alcibiades ","5"," Aletheia"
"29631","Acribor�a ","1"," De Onzekere"
"29632","Follies ","24"," De Sadistische Markiezin"
"29633","Donald Duck ","2015","10"
"29634","F.C. De Kampioenen ","69"," Vertongen Vampier"
"29635","SpiderMan Avonturen ","1"," Kraven De Jager"
"29636","Boerke ","2"," Deel 02"
"29637","Tarzan (Classics) "," A11 "," Het Vervloekte Collier"
"29638","Popeye "," B25 "," Het Geschenk Uit Afrika"
"29639","Witte Nacht ","2"," De Nachtegaal Van Koersk"
"29640","Zonneland ","1958","10"
"29641","Sl�ine ","14"," Het Geheim Van De Graal"
"29642","Laurel En Hardy "," A04 "," Album Nr 4"
"29643","Tim Tuimel ","1"," Tim Tuimel Knapt Het Op!"
"29644","De Autoreportages Van Margot ","4"," De Coureur Met De Twee Gezichten"
